"samples_per_group","local","test","loci","n_loci","median_df_paper","alpha","false_positives","rate","rate_over_alpha"
2,"none","t_df_paper","all",51730,2,0.05,56,0.00108254397834912,0.0216508795669824
2,"none","t_df_paper","all",51730,2,0.01,0,0,0
2,"none","t_df_paper","all",51730,2,0.001,0,0,0
2,"none","t_df_paper","meth_10_90",38024,2,0.05,54,0.00142015569114244,0.0284031138228487
2,"none","t_df_paper","meth_10_90",38024,2,0.01,0,0,0
2,"none","t_df_paper","meth_10_90",38024,2,0.001,0,0,0
2,"none","t_df_paper","overdispersed",19891,2,0.05,56,0.00281534362274395,0.0563068724548791
2,"none","t_df_paper","overdispersed",19891,2,0.01,0,0,0
2,"none","t_df_paper","overdispersed",19891,2,0.001,0,0,0
2,"none","t_df_code","all",51730,2,0.05,835,0.0161415039628842,0.322830079257684
2,"none","t_df_code","all",51730,2,0.01,35,0.0006765899864682,0.06765899864682
2,"none","t_df_code","all",51730,2,0.001,0,0,0
2,"none","t_df_code","meth_10_90",38024,2,0.05,802,0.0210919419314117,0.421838838628235
2,"none","t_df_code","meth_10_90",38024,2,0.01,35,0.000920471281296024,0.0920471281296023
2,"none","t_df_code","meth_10_90",38024,2,0.001,0,0,0
2,"none","t_df_code","overdispersed",19891,2,0.05,661,0.0332311095470313,0.664622190940626
2,"none","t_df_code","overdispersed",19891,2,0.01,35,0.00175958976421497,0.175958976421497
2,"none","t_df_code","overdispersed",19891,2,0.001,0,0,0
2,"none","chisq","all",51730,2,0.05,3781,0.0730910496810361,1.46182099362072
2,"none","chisq","all",51730,2,0.01,1199,0.0231780398221535,2.31780398221535
2,"none","chisq","all",51730,2,0.001,326,0.00630195244538952,6.30195244538952
2,"none","chisq","meth_10_90",38024,2,0.05,3407,0.0896013044393015,1.79202608878603
2,"none","chisq","meth_10_90",38024,2,0.01,1147,0.030165158847044,3.0165158847044
2,"none","chisq","meth_10_90",38024,2,0.001,315,0.00828424153166421,8.28424153166421
2,"none","chisq","overdispersed",19891,2,0.05,2314,0.116334020411241,2.32668040822483
2,"none","chisq","overdispersed",19891,2,0.01,888,0.044643306017797,4.4643306017797
2,"none","chisq","overdispersed",19891,2,0.001,307,0.0154341159318285,15.4341159318285
2,"disp","t_df_paper","all",51730,3.55525012641905,0.05,789,0.0152522714092403,0.305045428184806
2,"disp","t_df_paper","all",51730,3.55525012641905,0.01,90,0.0017398028223468,0.17398028223468
2,"disp","t_df_paper","all",51730,3.55525012641905,0.001,5,9.66557123526e-05,0.0966557123526
2,"disp","t_df_paper","meth_10_90",38024,3.55525012641905,0.05,745,0.0195928887018725,0.39185777403745
2,"disp","t_df_paper","meth_10_90",38024,3.55525012641905,0.01,88,0.00231432779297286,0.231432779297286
2,"disp","t_df_paper","meth_10_90",38024,3.55525012641905,0.001,5,0.000131495897328003,0.131495897328003
2,"disp","t_df_paper","overdispersed",19891,3.55525012641905,0.05,619,0.0311196018299734,0.622392036599467
2,"disp","t_df_paper","overdispersed",19891,3.55525012641905,0.01,85,0.00427328942737922,0.427328942737922
2,"disp","t_df_paper","overdispersed",19891,3.55525012641905,0.001,5,0.000251369966316425,0.251369966316425
2,"disp","t_df_code","all",51730,3.55525012641905,0.05,1522,0.0294219988401315,0.588439976802629
2,"disp","t_df_code","all",51730,3.55525012641905,0.01,179,0.00346027450222308,0.346027450222308
2,"disp","t_df_code","all",51730,3.55525012641905,0.001,6,0.00011598685482312,0.11598685482312
2,"disp","t_df_code","meth_10_90",38024,3.55525012641905,0.05,1428,0.0375552282768778,0.751104565537555
2,"disp","t_df_code","meth_10_90",38024,3.55525012641905,0.01,172,0.00452345886808332,0.452345886808332
2,"disp","t_df_code","meth_10_90",38024,3.55525012641905,0.001,6,0.000157795076793604,0.157795076793604
2,"disp","t_df_code","overdispersed",19891,3.55525012641905,0.05,1129,0.0567593383942487,1.13518676788497
2,"disp","t_df_code","overdispersed",19891,3.55525012641905,0.01,173,0.00869740083454829,0.869740083454829
2,"disp","t_df_code","overdispersed",19891,3.55525012641905,0.001,6,0.000301643959579709,0.301643959579709
2,"disp","chisq","all",51730,3.55525012641905,0.05,4014,0.0775952058766673,1.55190411753335
2,"disp","chisq","all",51730,3.55525012641905,0.01,1292,0.0249758360719118,2.49758360719118
2,"disp","chisq","all",51730,3.55525012641905,0.001,360,0.0069592112893872,6.9592112893872
2,"disp","chisq","meth_10_90",38024,3.55525012641905,0.05,3599,0.0946507468966968,1.89301493793394
2,"disp","chisq","meth_10_90",38024,3.55525012641905,0.01,1232,0.03240058910162,3.240058910162
2,"disp","chisq","meth_10_90",38024,3.55525012641905,0.001,349,0.00917841363349464,9.17841363349464
2,"disp","chisq","overdispersed",19891,3.55525012641905,0.05,2522,0.126791011010005,2.53582022020009
2,"disp","chisq","overdispersed",19891,3.55525012641905,0.01,979,0.0492182394047559,4.92182394047559
