chrBase	chr	base	strand	coverage	freqC	freqT
chr21.9437432	chr21	9437432	*	46	97.8260869565217	2.17391304347826
chr21.9437444	chr21	9437444	*	46	95.6521739130435	4.34782608695652
chr21.9437458	chr21	9437458	*	46	95.6521739130435	4.34782608695652
chr21.9437461	chr21	9437461	*	46	89.1304347826087	10.8695652173913
chr21.9437464	chr21	9437464	*	46	71.7391304347826	28.2608695652174
chr21.9437470	chr21	9437470	*	27	85.1851851851852	14.8148148148148
chr21.9437472	chr21	9437472	*	46	71.7391304347826	28.2608695652174
chr21.9437488	chr21	9437488	*	44	77.2727272727273	22.7272727272727
chr21.9437516	chr21	9437516	*	44	63.6363636363636	36.3636363636364
chr21.9437518	chr21	9437518	*	44	56.8181818181818	43.1818181818182
chr21.9437530	chr21	9437530	*	44	79.5454545454545	20.4545454545455
chr21.9437532	chr21	9437532	*	44	95.4545454545455	4.54545454545455
chr21.9437535	chr21	9437535	*	44	88.6363636363636	11.3636363636364
chr21.9437538	chr21	9437538	*	44	88.6363636363636	11.3636363636364
chr21.9438049	chr21	9438049	*	106	100	0
chr21.9438055	chr21	9438055	*	106	0	100
chr21.9438065	chr21	9438065	*	106	68.8679245283019	31.1320754716981
chr21.9438071	chr21	9438071	*	106	86.7924528301887	13.2075471698113
chr21.9438073	chr21	9438073	*	106	57.5471698113208	42.4528301886792
chr21.9438090	chr21	9438090	*	106	99.0566037735849	0.943396226415094
chr21.9438093	chr21	9438093	*	106	20.7547169811321	79.2452830188679
chr21.9438095	chr21	9438095	*	106	84.9056603773585	15.0943396226415
chr21.9438339	chr21	9438339	*	31	87.0967741935484	12.9032258064516
chr21.9438353	chr21	9438353	*	31	96.7741935483871	3.2258064516129
chr21.9438359	chr21	9438359	*	31	90.3225806451613	9.67741935483871
chr21.9438362	chr21	9438362	*	31	83.8709677419355	16.1290322580645
chr21.9438365	chr21	9438365	*	31	100	0
chr21.9438367	chr21	9438367	*	31	100	0
chr21.9438378	chr21	9438378	*	31	96.7741935483871	3.2258064516129
chr21.9438381	chr21	9438381	*	31	58.0645161290323	41.9354838709677
chr21.9438384	chr21	9438384	*	31	100	0
chr21.9438390	chr21	9438390	*	31	100	0
chr21.9438974	chr21	9438974	*	54	100	0
chr21.9438990	chr21	9438990	*	54	83.3333333333333	16.6666666666667
chr21.9438993	chr21	9438993	*	54	100	0
chr21.9438996	chr21	9438996	*	54	50	50
chr21.9439011	chr21	9439011	*	54	94.4444444444444	5.55555555555556
