chrBase	chr	base	strand	coverage	freqC	freqT
chr21.43008527	chr21	43008527	F	124	98.39	1.61
chr21.43008531	chr21	43008531	F	125	100	0
chr21.43008543	chr21	43008543	F	125	93.6	6.4
chr21.43008674	chr21	43008674	R	29	86.21	13.79
chr21.43008710	chr21	43008710	R	31	83.87	16.13
chr21.43008720	chr21	43008720	R	33	100	0
chr21.43014041	chr21	43014041	F	207	97.58	2.42
chr21.43014044	chr21	43014044	F	207	94.2	5.8
chr21.43014076	chr21	43014076	F	202	93.07	6.93
chr21.43016439	chr21	43016439	F	93	96.77	3.23
chr21.43016518	chr21	43016518	R	136	94.85	5.15
chr21.43018213	chr21	43018213	F	68	89.71	10.29
chr21.43018275	chr21	43018275	R	231	97.4	2.6
chr21.43018282	chr21	43018282	R	233	91.42	8.58
chr21.43018293	chr21	43018293	R	236	99.58	0.42
chr21.43018713	chr21	43018713	F	12	100	0
chr21.43018755	chr21	43018755	F	11	100	0
chr21.43018798	chr21	43018798	R	12	100	0
chr21.43018833	chr21	43018833	R	12	91.67	8.33
chr21.43025397	chr21	43025397	F	183	100	0
chr21.43025404	chr21	43025404	F	182	90.11	9.89
chr21.43025436	chr21	43025436	F	180	98.89	1.11
chr21.43025440	chr21	43025440	F	178	100	0
chr21.43025549	chr21	43025549	R	21	100	0
chr21.43025557	chr21	43025557	R	21	100	0
chr21.43025573	chr21	43025573	R	21	100	0
chr21.43031390	chr21	43031390	F	81	0	100
chr21.43031474	chr21	43031474	R	237	0.84	99.16
chr21.43031604	chr21	43031604	F	52	1.92	98.08
chr21.43031604	chr21	43031604	R	22	4.55	95.45
chr21.43031681	chr21	43031681	R	104	1.92	98.08
chr21.43031693	chr21	43031693	R	104	1.92	98.08
chr21.43031710	chr21	43031710	R	105	2.86	97.14
chr21.43034558	chr21	43034558	F	23	95.65	4.35
chr21.43034601	chr21	43034601	F	22	90.91	9.09
chr21.43034606	chr21	43034606	F	23	95.65	4.35
chr21.43034659	chr21	43034659	R	30	63.33	36.67
chr21.43034668	chr21	43034668	R	34	88.24	11.76
chr21.43034674	chr21	43034674	R	34	88.24	11.76
chr21.43034705	chr21	43034705	F	11	81.82	18.18
chr21.43034705	chr21	43034705	R	34	88.24	11.76
chr21.43034843	chr21	43034843	F	86	58.14	41.86
chr21.43034880	chr21	43034880	F	83	34.94	65.06
chr21.43034880	chr21	43034880	R	17	29.41	70.59
chr21.43034885	chr21	43034885	F	83	40.96	59.04
chr21.43034885	chr21	43034885	R	18	77.78	22.22
chr21.43034896	chr21	43034896	F	42	42.86	57.14
chr21.43034896	chr21	43034896	R	19	26.32	73.68
chr21.43034953	chr21	43034953	R	84	45.24	54.76
chr21.43035769	chr21	43035769	R	258	94.96	5.04
chr21.43035806	chr21	43035806	R	259	94.98	5.02
chr21.43037069	chr21	43037069	F	106	97.17	2.83
chr21.43037089	chr21	43037089	F	106	96.23	3.77
chr21.43037244	chr21	43037244	R	24	95.83	4.17
chr21.43037253	chr21	43037253	R	24	100	0
chr21.43037297	chr21	43037297	R	66	95.45	4.55
chr21.43037335	chr21	43037335	R	70	97.14	2.86
chr21.43037723	chr21	43037723	F	15	66.67	33.33
chr21.43037762	chr21	43037762	F	15	66.67	33.33
chr21.43037942	chr21	43037942	R	10	100	0
chr21.43037957	chr21	43037957	R	10	100	0
chr21.43037981	chr21	43037981	F	92	98.91	1.09
chr21.43037998	chr21	43037998	F	93	94.62	5.38
chr21.43038001	chr21	43038001	F	93	93.55	6.45
chr21.43038019	chr21	43038019	F	68	0	100
chr21.43038046	chr21	43038046	R	39	94.87	5.13
chr21.43038050	chr21	43038050	R	38	94.74	5.26
chr21.43038092	chr21	43038092	R	39	94.87	5.13
chr21.43038092	chr21	43038092	F	88	100	0
chr21.43038111	chr21	43038111	F	86	97.67	2.33
chr21.43038177	chr21	43038177	R	158	95.57	4.43
chr21.43038177	chr21	43038177	F	62	100	0
chr21.43040277	chr21	43040277	F	18	0	100
chr21.43040280	chr21	43040280	F	18	0	100
chr21.43040460	chr21	43040460	F	38	7.89	92.11
chr21.43040460	chr21	43040460	R	88	1.14	98.86
chr21.43044609	chr21	43044609	R	25	100	0
chr21.43044625	chr21	43044625	R	25	80	20
chr21.43044868	chr21	43044868	F	17	70.59	29.41
chr21.43044876	chr21	43044876	F	17	76.47	23.53
