chrBase	chr	base	strand	coverage	freqC	freqT
chr21.43008666	chr21	43008666	R	73	100	0
chr21.43008674	chr21	43008674	R	73	100	0
chr21.43008710	chr21	43008710	R	74	100	0
chr21.43008720	chr21	43008720	R	74	100	0
chr21.43014041	chr21	43014041	F	61	100	0
chr21.43014044	chr21	43014044	F	62	100	0
chr21.43014076	chr21	43014076	R	27	100	0
chr21.43014076	chr21	43014076	F	60	58.33	41.67
chr21.43014108	chr21	43014108	R	28	100	0
chr21.43016439	chr21	43016439	F	15	100	0
chr21.43018213	chr21	43018213	F	54	100	0
chr21.43018446	chr21	43018446	R	11	100	0
chr21.43018798	chr21	43018798	R	132	100	0
chr21.43018833	chr21	43018833	R	133	100	0
chr21.43025397	chr21	43025397	F	228	100	0
chr21.43025404	chr21	43025404	F	227	100	0
chr21.43025436	chr21	43025436	F	226	100	0
chr21.43025440	chr21	43025440	F	226	100	0
chr21.43025549	chr21	43025549	R	23	100	0
chr21.43025557	chr21	43025557	R	23	100	0
chr21.43025573	chr21	43025573	R	23	100	0
chr21.43029752	chr21	43029752	F	54	100	0
chr21.43031367	chr21	43031367	R	34	0	100
chr21.43031374	chr21	43031374	R	35	0	100
chr21.43031390	chr21	43031390	R	34	100	0
chr21.43031390	chr21	43031390	F	30	0	100
chr21.43031474	chr21	43031474	R	83	0	100
chr21.43031604	chr21	43031604	F	23	0	100
chr21.43031604	chr21	43031604	R	50	0	100
chr21.43031666	chr21	43031666	R	30	0	100
chr21.43031681	chr21	43031681	R	30	0	100
chr21.43031693	chr21	43031693	R	29	0	100
chr21.43031710	chr21	43031710	R	30	0	100
chr21.43032571	chr21	43032571	F	27	100	0
chr21.43032613	chr21	43032613	R	43	100	0
chr21.43034843	chr21	43034843	F	89	100	0
chr21.43034880	chr21	43034880	F	86	100	0
chr21.43034880	chr21	43034880	R	31	100	0
chr21.43034885	chr21	43034885	F	89	38.2	61.8
chr21.43034885	chr21	43034885	R	32	100	0
chr21.43034896	chr21	43034896	F	29	100	0
chr21.43034896	chr21	43034896	R	115	27.83	72.17
chr21.43034953	chr21	43034953	F	27	0	100
chr21.43034953	chr21	43034953	R	83	100	0
chr21.43035769	chr21	43035769	R	268	88.43	11.57
