chrBase	chr	base	strand	coverage	freqC	freqT
chr21.9437432	chr21	9437432	*	52	98.0769230769231	1.92307692307692
chr21.9437444	chr21	9437444	*	52	96.1538461538462	3.84615384615385
chr21.9437458	chr21	9437458	*	52	94.2307692307692	5.76923076923077
chr21.9437461	chr21	9437461	*	52	92.3076923076923	7.69230769230769
chr21.9437464	chr21	9437464	*	52	100	0
chr21.9437470	chr21	9437470	*	34	97.0588235294118	2.94117647058824
chr21.9437472	chr21	9437472	*	52	73.0769230769231	26.9230769230769
chr21.9437488	chr21	9437488	*	50	78	22
chr21.9437516	chr21	9437516	*	50	98	2
chr21.9437518	chr21	9437518	*	50	98	2
chr21.9437530	chr21	9437530	*	50	98	2
chr21.9437532	chr21	9437532	*	50	100	0
chr21.9437535	chr21	9437535	*	50	100	0
chr21.9437538	chr21	9437538	*	50	96	4
chr21.9438049	chr21	9438049	*	136	71.3235294117647	28.6764705882353
chr21.9438055	chr21	9438055	*	136	0	100
chr21.9438065	chr21	9438065	*	136	58.0882352941177	41.9117647058824
chr21.9438071	chr21	9438071	*	136	67.6470588235294	32.3529411764706
chr21.9438073	chr21	9438073	*	136	79.4117647058823	20.5882352941176
chr21.9438090	chr21	9438090	*	136	97.0588235294118	2.94117647058824
chr21.9438093	chr21	9438093	*	136	28.6764705882353	71.3235294117647
chr21.9438095	chr21	9438095	*	136	83.8235294117647	16.1764705882353
chr21.9438339	chr21	9438339	*	46	100	0
chr21.9438353	chr21	9438353	*	46	97.8260869565217	2.17391304347826
chr21.9438359	chr21	9438359	*	46	84.7826086956522	15.2173913043478
chr21.9438362	chr21	9438362	*	46	86.9565217391304	13.0434782608696
chr21.9438365	chr21	9438365	*	46	100	0
chr21.9438367	chr21	9438367	*	46	89.1304347826087	10.8695652173913
chr21.9438378	chr21	9438378	*	46	100	0
chr21.9438381	chr21	9438381	*	46	76.0869565217391	23.9130434782609
chr21.9438384	chr21	9438384	*	46	100	0
chr21.9438390	chr21	9438390	*	46	100	0
chr21.9438974	chr21	9438974	*	44	100	0
chr21.9438990	chr21	9438990	*	44	56.8181818181818	43.1818181818182
chr21.9438993	chr21	9438993	*	44	75	25
chr21.9438996	chr21	9438996	*	44	36.3636363636364	63.6363636363636
chr21.9439011	chr21	9439011	*	44	65.9090909090909	34.0909090909091
chr21.9439017	chr21	9439017	*	44	95.4545454545455	4.54545454545455
chr21.9439019	chr21	9439019	*	44	93.1818181818182	6.81818181818182
chr21.9439022	chr21	9439022	*	44	45.4545454545455	54.5454545454545
chr21.9439220	chr21	9439220	*	161	88.1987577639752	11.8012422360248
chr21.9439238	chr21	9439238	*	161	77.0186335403727	22.9813664596273
chr21.9439247	chr21	9439247	*	161	56.5217391304348	43.4782608695652
chr21.9439293	chr21	9439293	*	104	70.1923076923077	29.8076923076923
chr21.9439318	chr21	9439318	*	104	30.7692307692308	69.2307692307692
chr21.9439337	chr21	9439337	*	103	46.6019417475728	53.3980582524272
chr21.9439340	chr21	9439340	*	102	64.7058823529412	35.2941176470588
chr21.9439348	chr21	9439348	*	25	56	44
chr21.9439362	chr21	9439362	*	25	4	96
chr21.9439385	chr21	9439385	*	25	40	60
chr21.9439388	chr21	9439388	*	25	12	88
chr21.9439393	chr21	9439393	*	25	56	44
chr21.9439395	chr21	9439395	*	25	60	40
chr21.9439570	chr21	9439570	*	0	0	0
chr21.9439591	chr21	9439591	*	0	0	0
chr21.9439599	chr21	9439599	*	128	3.90625	96.09375
chr21.9439635	chr21	9439635	*	305	3.27868852459016	96.7213114754098
chr21.9439716	chr21	9439716	*	294	19.3877551020408	80.6122448979592
chr21.9439724	chr21	9439724	*	294	44.5578231292517	55.4421768707483
chr21.9439740	chr21	9439740	*	294	27.891156462585	72.108843537415
chr21.9469080	chr21	9469080	*	10	0	100
chr21.9469121	chr21	9469121	*	10	0	100
chr21.9476854	chr21	9476854	*	54	14.8148148148148	85.1851851851852
chr21.9476862	chr21	9476862	*	54	20.3703703703704	79.6296296296296
chr21.9476866	chr21	9476866	*	54	18.5185185185185	81.4814814814815
chr21.9476886	chr21	9476886	*	116	1.72413793103448	98.2758620689655
chr21.9476918	chr21	9476918	*	62	0	100
chr21.9483454	chr21	9483454	*	52	57.6923076923077	42.3076923076923
chr21.9483486	chr21	9483486	*	53	100	0
chr21.9483488	chr21	9483488	*	53	94.3396226415094	5.66037735849057
